Instance	direct	direct-wdeg	direct-domoverwdeg	positional	positional-wdeg	positional-domoverwdeg	combined-symD-branchD-consD	combined-symD-branchD-consFull	combined-symD-branchD-consP	combined-symD-branchP-consD	combined-symD-branchP-consFull	combined-symD-branchP-consP	combined-symP-branchD-consD	combined-symP-branchD-consFull	combined-symP-branchD-consP	combined-symP-branchP-consD	combined-symP-branchP-consFull	combined-symP-branchP-consP	
03_03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
03_04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
03_05	0	0	0	0	0	0	0	0	0	0	0	0	330	0	0	172	0	0	
03_06	5,064	593	943	0	0	0	5,047	0	0	1,613	0	0	10,367	0	0	1,300	0	0	
03_07	248,931	5,570	10,597	70	38	36	248,618	20	24	10,000	63	78	384,692	24	27	7,453	60	69	
03_08	12,190,321	63,645	144,003	458	218	115	12,181,939	80	81	63,902	406	417	15,017,660	87	87	47,935	458	458	
04_02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
04_03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
04_04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
04_05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
04_06	0	0	0	0	0	0	0	0	0	0	0	0	22,521	0	0	3,110	0	0	
04_07	778,001	3,579	6,724	0	0	0	777,501	0	0	29,649	0	0	1,625,334	0	0	23,703	0	0	
04_08	83,730,523	76,694	157,730	186	83	47	83,679,121	0	20	229,216	0	212	-	40	45	178,174	164	186	
05_02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
05_03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
05_04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
05_05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
05_06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
